部屋割りID,予約ID,部屋ID,部屋名,利用開始日,利用終了日,割当人数,男性人数,女性人数,子ども人数,小学生男,小学生女,3歳以上,3歳未満,表示用メモ,部屋割りメモ,作成日時,更新日時
RA-2026-0013,MIG-MT0019,R01,理科室,2026/07/11,2026/07/12,0,27,0,0,0,0,0,0,,,2026/06/26 21:15,2026/06/26 21:57
RA-2026-0014,MIG-MT0014,R02,低学年室,2026/07/18,2026/07/19,0,4,3,0,0,0,0,0,,,2026/06/26 21:15,2026/06/26 21:15
RA-2026-0015,MIG-MT0004,R02,低学年室,2026/07/19,2026/07/20,9,5,4,0,0,0,0,0,,,2026/06/26 21:15,2026/06/26 21:15
RA-2026-0016,STUDIO-MT154,R02,低学年室,2026/07/21,2026/07/22,0,3,3,3,1,1,1,0,,,2026/06/26 21:15,2026/06/26 21:15
RA-2026-0017,MIG-MT0007,R02,低学年室,2026/07/25,2026/07/26,0,6,4,0,0,0,0,0,,,2026/06/26 21:15,2026/06/26 21:15
RA-2026-0018,MIG-MT0018,R02,低学年室,2026/07/26,2026/07/27,0,1,3,2,1,1,0,0,,,2026/06/26 21:15,2026/06/26 21:15
RA-2026-0019,MANUAL-MT2,R01,理科室,2026/07/31,2026/08/01,0,0,0,0,0,0,0,0,,,2026/06/26 21:15,2026/06/26 22:33
RA-2026-0020,MIG-MT0017,R02,低学年室,2026/07/31,2026/08/01,4,2,2,0,0,0,0,0,,,2026/06/26 21:15,2026/06/26 21:15
RA-2026-0021,MIG-MT0019,R02,低学年室,2026/07/11,2026/07/12,27,27,0,0,0,0,0,0,,,2026/06/26 21:23,2026/06/26 21:23
RA-2026-0022,MIG-MT0019,R03,高学年室,2026/07/11,2026/07/12,27,27,0,0,0,0,0,0,,,2026/06/26 21:23,2026/06/26 21:23
RA-2026-0025,MIG-MT0019,R04,保健室,2026/07/11,2026/07/12,27,27,0,0,0,0,0,0,,,2026/06/26 21:55,2026/06/26 21:55
RA-2026-0027,MIG-MT0002,R01,理科室,2026/08/01,2026/08/02,46,10,10,26,20,3,0,3,,,2026/06/26 21:58,2026/06/26 21:58
RA-2026-0028,MIG-MT0002,R02,低学年室,2026/08/01,2026/08/02,46,10,10,26,20,3,0,3,,,2026/06/26 21:58,2026/06/26 21:58
RA-2026-0029,MIG-MT0002,R03,高学年室,2026/08/01,2026/08/02,46,10,10,26,20,3,0,3,,,2026/06/26 21:58,2026/06/26 21:58
