部屋割りID,予約ID,部屋ID,部屋名,利用開始日,利用終了日,割当人数,男性人数,女性人数,子ども人数,小学生男,小学生女,3歳以上,3歳未満,表示用メモ,部屋割りメモ,作成日時,更新日時
RA-2026-0001,PAST-2026-046,R01,理科室,2026/06/12,2026/06/13,2,1,1,0,0,0,0,0,,,2026/06/17 11:45,2026/06/17 11:45
RA-2026-0002,PAST-2026-043,R03,高学年室,2026/06/12,2026/06/14,0,1,1,1,0,0,0,1,,,2026/06/17 11:45,2026/06/17 11:45
RA-2026-0003,PAST-2026-045,R01,理科室,2026/06/13,2026/06/14,3,2,1,0,0,0,0,0,,,2026/06/17 11:45,2026/06/17 11:45
RA-2026-0004,PAST-2026-042,R02,低学年室,2026/06/13,2026/06/14,3,0,3,0,0,0,0,0,,,2026/06/17 11:45,2026/06/17 11:45
RA-2026-0005,PAST-2026-044,R04,保健室,2026/06/13,2026/06/14,0,2,0,0,0,0,0,0,,,2026/06/17 11:45,2026/06/17 11:45
RA-2026-0008,PAST-2026-032,R02,低学年室,2026/06/05,2026/06/06,0,4,1,1,1,0,0,0,,,2026/06/26 11:02,2026/06/26 11:02
RA-2026-0006,MIG-MT0010,R02,低学年室,2026/06/24,2026/06/26,5,4,1,0,0,0,0,0,,,2026/06/23 20:53,2026/06/23 20:53
RA-2026-0007,STUDIO-MT153,R01,理科室,2026/06/26,2026/06/27,2,1,1,0,0,0,0,0,,,2026/06/26 11:01,2026/06/26 11:01
RA-2026-0009,MIG-MT0022,R01,理科室,2026/06/28,2026/06/30,0,0,1,0,0,0,0,0,,,2026/06/26 11:03,2026/06/26 11:03
RA-2026-0010,MIG-MT0005,R02,低学年室,2026/07/02,2026/07/03,4,0,4,0,0,0,0,0,,,2026/06/26 21:15,2026/07/02 17:57
RA-2026-0089,MANUAL-MT17,R01,理科室,2026/07/02,2026/07/03,1,1,0,0,0,0,0,0,,,2026/07/02 17:57,2026/07/02 17:57
RA-2026-0012,MIG-MT0006,R03,高学年室,2026/07/04,2026/07/05,0,6,0,0,0,0,0,0,,,2026/06/26 21:15,2026/07/02 17:57
RA-2026-0011,MIG-MT0024,R02,低学年室,2026/07/04,2026/07/05,0,4,0,0,0,0,0,0,,,2026/06/26 21:15,2026/07/02 17:57
RA-2026-0090,STUDIO-MT156,R01,理科室,2026/07/04,2026/07/05,1,0,1,0,0,0,0,0,,,2026/07/02 17:57,2026/07/02 17:57
RA-2026-0091,MANUAL-MT19,R04,保健室,2026/07/04,2026/07/05,2,1,1,0,0,0,0,0,,,2026/07/04 15:38,2026/07/04 15:38
